Year Built,Year Remod/Add,Yr Sold,Full Bathrooms,Half Bathrooms,Bedroom AbvGr,Kitchen AbvGr,Fireplaces,Functional,Overall Qual,Overall Cond,Kitchen Qual,House Style,Garage Type,Lot Area,Total Bsmt SF,SalePrice
2001,2001,2010,3.0,0.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,4920,1338.0,213500
1992,1992,2010,2.0,0.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,5005,1280.0,191500
1995,1996,2010,3.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,5389,1595.0,236500
1985,1985,2010,2.0,1.0,1,1,0,Typ,8,5,Gd,1Story,Attchd,6820,1488.0,212000
1999,1999,2010,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,5858,1405.0,184000
1971,1971,2010,1.0,1.0,2,1,0,Typ,6,5,TA,2Story,Detchd,1680,483.0,96000
1971,1971,2010,1.0,1.0,3,1,0,Typ,5,5,TA,2Story,Detchd,1680,525.0,105500
1971,1971,2010,1.0,1.0,3,1,0,Typ,6,5,TA,2Story,Detchd,1680,525.0,88000
1977,1977,2010,2.0,0.0,2,1,1,Typ,6,5,TA,1Story,Attchd,4043,1069.0,127500
1975,1975,2010,2.0,1.0,3,1,1,Typ,6,6,Gd,2Story,Attchd,2280,855.0,149900
1975,1975,2010,1.0,0.0,2,1,0,Typ,7,6,TA,1Story,Attchd,2280,836.0,120000
1978,1978,2010,2.0,1.0,3,1,1,Typ,6,5,TA,2Story,Attchd,2280,855.0,146000
2009,2010,2010,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,6371,1358.0,224000
2005,2005,2010,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,7658,1752.0,319900
2006,2006,2010,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,7132,1370.0,205000
2006,2006,2010,2.0,0.0,2,1,0,Typ,7,5,Gd,1Story,Attchd,3203,1145.0,160000
2004,2005,2010,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3182,1256.0,192000
1980,1980,2010,2.0,0.0,2,1,1,Typ,6,5,TA,1Story,Attchd,8012,923.0,143000
1979,1979,2010,2.0,0.0,2,1,1,Typ,6,5,TA,1Story,Attchd,7892,918.0,99500
1984,1984,2010,2.0,0.0,2,1,0,Typ,6,5,TA,1Story,Attchd,7175,744.0,125000
2004,2005,2010,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,4835,1488.0,260000
2004,2004,2010,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Attchd,3515,840.0,190000
2004,2004,2010,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,3215,600.0,155000
2004,2005,2010,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,3182,600.0,151000
2004,2005,2010,3.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Detchd,2544,600.0,149500
2005,2005,2010,3.0,1.0,2,1,0,Typ,6,5,Gd,2Story,Detchd,2544,600.0,152000
2000,2000,2010,2.0,1.0,3,1,0,Typ,6,5,Gd,2Story,Detchd,2117,756.0,177500
2000,2000,2010,3.0,1.0,2,1,0,Typ,6,5,Gd,2Story,Detchd,2980,756.0,177000
1999,1999,2010,3.0,1.0,3,1,0,Typ,7,5,Gd,2Story,Detchd,2572,696.0,155000
2003,2003,2010,2.0,1.0,2,1,0,Typ,7,5,Gd,2Story,Attchd,2403,530.0,147110
1980,1980,2010,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Detchd,4420,728.0,155000
1978,1978,2010,2.0,0.0,1,1,1,Typ,8,6,Gd,1Story,Attchd,3880,1226.0,206000
2003,2003,2010,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4435,848.0,143750
2004,2004,2010,2.0,0.0,1,1,0,Typ,6,5,Gd,1Story,Attchd,4426,848.0,143000
1989,1989,2010,2.0,0.0,1,1,1,Typ,8,6,Gd,1Story,Attchd,3907,982.0,185000
1989,1989,2010,2.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3907,1191.0,162500
2004,2005,2010,3.0,1.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,3811,1594.0,246000
1973,1973,2010,2.0,1.0,2,1,1,Typ,5,6,TA,1Story,Attchd,2394,945.0,119500
2004,2005,2009,3.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,7296,2208.0,375000
2000,2000,2009,3.0,0.0,2,1,1,Typ,8,5,Ex,1Story,Attchd,5664,1501.0,278000
1995,1996,2009,3.0,0.0,2,1,0,Typ,8,5,Gd,1Story,Attchd,8013,1587.0,239500
1984,1984,2009,2.0,0.0,1,1,1,Typ,8,5,Gd,1Story,Attchd,5814,1220.0,187500
1973,1973,2009,2.0,1.0,2,1,0,Typ,6,5,TA,2Story,Detchd,1680,483.0,111000
1970,1970,2009,1.0,1.0,3,1,0,Min1,5,6,TA,2Story,Attchd,2368,765.0,125000
1971,1971,2009,2.0,1.0,3,1,0,Typ,5,5,TA,2Story,Detchd,1680,630.0,112000
1972,1972,2009,2.0,1.0,2,1,0,Typ,6,6,TA,2Story,Detchd,1680,483.0,97000
1972,2007,2009,1.0,1.0,2,1,0,Typ,6,8,Gd,2Story,Detchd,1680,483.0,118000
1972,1972,2009,2.0,1.0,3,1,0,Typ,5,7,TA,2Story,Detchd,1680,630.0,119500
1976,1976,2009,2.0,0.0,2,1,0,Typ,6,6,TA,1Story,Attchd,4928,958.0,143750
1976,1976,2009,2.0,1.0,3,1,1,Typ,6,5,TA,2Story,Detchd,2308,804.0,146000
1976,1976,2009,2.0,1.0,3,1,1,Typ,6,6,TA,2Story,Attchd,2280,855.0,148500
1975,1975,2009,2.0,1.0,2,1,1,Typ,7,5,TA,1Story,Attchd,2280,1057.0,123000
1977,1977,2009,2.0,1.0,3,1,1,Typ,6,5,TA,2Story,Attchd,2349,855.0,137900
1978,1978,2009,2.0,1.0,3,1,1,Typ,6,6,TA,2Story,Attchd,2289,855.0,148500
1978,1978,2009,2.0,1.0,3,1,1,Typ,6,5,TA,2Story,Attchd,2364,855.0,138000
1976,1976,2009,1.0,1.0,2,1,0,Typ,7,6,TA,1Story,Attchd,2104,836.0,128500
2005,2005,2009,2.0,0.0,2,1,1,Typ,6,5,Gd,1Story,Attchd,6904,1358.0,213000
2005,2005,2009,3.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,5381,1306.0,196000
2005,2005,2009,3.0,0.0,1,1,1,Typ,6,5,Gd,1Story,Attchd,5122,1306.0,184500
2007,2008,2009,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,10307,1350.0,212500
2007,2008,2009,3.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,5001,1314.0,230000
2008,2009,2009,3.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,7390,1884.0,320000
2008,2008,2009,2.0,0.0,2,1,1,Typ,9,5,Ex,1Story,Attchd,6472,1451.0,248500
2006,2006,2009,3.0,0.0,2,1,1,Typ,8,5,Gd,1Story,Attchd,6240,1324.0,254000
2003,2003,2009,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3480,1405.0,173000
2007,2007,2009,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3684,1373.0,174000
2007,2007,2009,2.0,1.0,1,1,1,Typ,7,5,Gd,1Story,Attchd,3635,1386.0,175900
2005,2006,2009,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3182,1373.0,192500
2005,2006,2009,2.0,0.0,1,1,1,Typ,7,5,Gd,1Story,Attchd,3182,1346.0,181000
2005,2006,2009,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3182,1220.0,180000
2005,2006,2009,2.0,0.0,2,1,1,Typ,7,5,Gd,1Story,Attchd,3182,1145.0,160200
